genus,family,order
Symphoricapos,Caprifoliaceae,Dipsacales
Tilia,Malvaceae,Malvales
Quercus,Fagaceae,Fagales
Populus,Salicaceae,Malpighiales
Salix,Salicaceae,Malpighiales
Fraxinus,Oleaceae,Lamiales
Acer,Sapindaceae,Sapindales
Ulmus,Ulmaceae,Rosales
Platanus,Platanaceae,Proteales
Carpinus,Betulaceae,Fagales
Paulownia,Paulowniaceae,Lamiales
Aesculus,Sapindaceae,Sapindales
Liquidambar,Altingiaceae,Saxifragales
Amelanchier,Rosaceae,Rosales
Sorbus,Rosaceae,Rosales
Prunus,Rosaceae,Rosales
Robinia,Fabaceae,Fabales
Betula,Betulaceae,Fagales
Crataegus,Rosaceae,Rosales
Gleditsia,Fabaceae,Fabales
Ginkgo,Ginkgoaceae,Ginkgoales
Liriodendron,Magnoliaceae,Magnoliales
Ailanthus,Simaroubaceae,Sapindales
Metasequoia,Cupressaceae,Cupressales
Corylus,Betulaceae,Fagales
Elaeagnus,Elaeagnaceae,Rosales
Pyrus,Rosaceae,Rosales
Alnus,Betulaceae,Fagales
Malus,Rosaceae,Rosales
Juglans,Juglandaceae,Fagales
Laburnum,Fabaceae,Fabales
Cornus,Cornaceae,Cornales
Ilex,Aquifoliaceae,Aquifoliales
Fagus,Fagaceae,Fagales
Catalpa,Bignoniaceae,Lamiales
Styphnolobium,Fabaceae,Fabales
Sequoiadendron,Cupressaceae,Cupressales
Cydonia,Rosaceae,Rosales
Picea,Pinaceae,Pinales
Pinus,Pinaceae,Pinales
Nothofagus,Nothofagaceae,Fagales
Magnolia,Magnoliaceae,Magnoliales
Cercidiphyllum,Cercidiphyllaceae,Saxifragales
Castanea,Fagaceae,Fagales
Rhus,Anacardiaceae,Sapindales
Davidia,Nyssaceae,Cornales
Pterocarya,Juglandaceae,Fagales
Thuja,Cupressaceae,Cupressales
Hamamelis,Hamamelidaceae,Saxifragales
Larix,Pinaceae,Pinales
Morus,Moraceae,Rosales
Abies,Pinaceae,Pinales
Cedrus,Pinaceae,Pinales
Trachycarpus,Arecaceae,Arecales
Araucaria,Araucariaceae,Araucariales
Zelkova,Ulmaceae,Rosales
Taxus,Taxaceae,Cupressales
Viburnum,Adoxaceae,Dipsacales
Hibiscus,Malvaceae,Malvales
Sambucus,Adoxaceae,Dipsacales
Euonymus,Celastraceae,Celastrales
Chamaecyparis,Cupressaceae,Cupressales
Koelreuteria,Sapindaceae,Sapindales
Styrax,Styracaceae,Ericales
Nyssa,Nyssaceae,Cornales
Maclura,Moraceae,Rosales
Parrotia,Hamamelidaceae,Saxifragales
Mespilus,Rosaceae,Rosales
Albizia,Fabaceae,Fabales
Taxodium,Cupressaceae,Cupressales
Ostrya,Betulaceae,Fagales
Tsuga,Pinaceae,Pinales
Gymnocladus,Fabaceae,Fabales
Syringa,Oleaceae,Lamiales
Juniperus,Cupressaceae,Cupressales
Rosa,Rosaceae,Rosales
Ribes,Grossulariaceae,Saxifragales
Hippophaë,Elaeagnaceae,Rosales
Rhamnus,Rhamnaceae,Rosales
Cunninghamia,Cupressaceae,Cupressales
Buddleja,Scrophulariaceae,Lamiales
Aronia,Rosaceae,Rosales
Eucommia,Eucommiaceae,Garryales
Pistacie,Anacardiaceae,Sapindales
Heptacodium,Caprifoliaceae,Dipsacales
Asimina,Annonaceae,Magnoliales
Zanthoxylum,Rutaceae,Sapindales
Celtis,Cannabaceae,Rosales
Broussonetia,Moraceae,Rosales
Pseudotsuga,Pinaceae,Pinales
Torreya,Taxaceae,Cupressales
Cephalotaxus,Taxaceae,Cupressales
Thujopsis,Cupressaceae,Cupressales
Phillyrea,Oleaceae,Lamiales
+Laburnocytisus,Fabaceae,Fabales
Staphylea,Staphyleaceae,Crossosomatales
Cladrastis,Fabaceae,Fabales
Phellodendron,Rutaceae,Sapindales
Colutea,Fabaceae,Fabales
Cotoneaster,Rosaceae,Rosales
Cryptomeria,Cupressaceae,Cupressales
Osmanthus,Oleaceae,Lamiales
Fothergilla,Hamamelidaceae,Saxifragales
Cercis,Fabaceae,Fabales
Kolkwitzia,Caprifoliaceae,Dipsacales
Calycanthus,Calycanthaceae,Laurales
Kerria,Rosaceae,Rosales
Sequoia,Cupressaceae,Cupressales
Tetradium,Rutaceae,Sapindales
Hydrangea,Hydrangeaceae,Cornales
Cotinus,Anacardiaceae,Sapindales
Rhododendron,Ericaceae,Ericales
Trochodendron,Trochodendraceae,Trochodendrales
Physocarpus,Rosaceae,Rosales
Sorbaria,Rosaceae,Rosales
Poncirus,Rutaceae,Sapindales
Calocedrus,Cupressaceae,Cupressales
Buxus,Buxaceae,Buxales
